1000	0.3048 -0.08472 0.2334 -1.023 0.3855 -0.05062 -0.7748 0.4589 0.1015 0.4505 -0.08976	0.5872 0.1659 0.4688 -0.2966 -0.1748 -0.3483 -0.05381 -0.5896 -0.2133 -0.7746 -1.132	0.1024 0.6547 -0.5824 -0.6256 0.2132 0.4108 -0.2862 0.3047 -0.194 0.3533 0.1387	0.3292 0.7638 0.4161 -0.4367 -0.2067 -0.1349 0.1771 0.7109 -0.5621 0.4506 -0.07094	0.8771 -0.1548 -0.06502 -0.2247 -0.2847 -0.08279 0.1606 0.1548 -0.8187 0.8174 -0.1446	0.04662 0.03018 0.05988 0.9896 -0.9185 1.076 -0.3605 0.004427 -1.08 -0.7323 1.058	-0.08874 -0.4199 0.3055 0.1954 -0.2976 0.1695 -0.07677 0.985 0.07288 0.6981 -0.05659	-0.7265 -0.7058 0.7617 0.4595 -0.4546 -1.298 0.3317 -0.3132 0.0871 0.8807 -0.7617	0.3124 -0.2783 0.154 0.3831 -0.1279 0.5278 -0.2868 -0.04275 -0.7292 -0.7106 0.2973	-0.9936 0.07468 0.03289 0.45 -0.1078 -0.2236 0.1189 -0.2349 0.2709 -0.4305 -0.6576	0.3014 0.7968 -0.165 -0.2001 -0.9633 0.5457 -0.09703 0.2853 0.1889 -0.9979 -0.3558
1100	0.4209 -0.4338 0.1445 -1.114 0.3893 -0.04898 -0.8707 0.458 0.06838 0.5958 -0.2428	0.7435 0.3175 0.3944 -0.3398 -0.2444 -0.3243 -0.3732 -0.6786 -0.145 -0.6729 -1.248	0.2604 0.6425 -0.8356 -0.6963 0.1456 0.2714 -0.09424 0.2259 -0.1799 0.3343 0.2117	0.4376 0.5259 0.5814 -0.2754 0.02991 -0.1225 0.3212 0.6383 -0.5977 0.3565 -0.1435	1.015 -0.4326 -0.1354 -0.1011 -0.3109 -0.1015 0.2544 0.2236 -0.7105 0.5474 -0.04896	0.2672 0.2778 0.1401 0.7245 -0.8721 1.029 -0.4544 -0.1021 -1.123 -0.5544 1.032	0.1551 -0.5352 0.1194 0.2219 -0.271 0.4116 -0.06389 1.24 0.07898 0.947 -0.2588	-0.7107 -0.5591 0.6631 0.5271 -0.2695 -1.264 0.5085 -0.481 0.03239 1.162 -0.9502	0.1535 0.07017 0.1094 0.3314 -0.2204 0.5113 -0.1367 -0.1429 -0.5662 -0.7362 0.1921	-0.9083 -0.1218 0.2606 0.1987 -0.06888 -0.1573 0.02434 -0.2555 0.223 -0.4335 -0.2936	0.2314 0.6411 -0.2349 -0.383 -0.9705 0.484 -0.02545 0.1308 0.07193 -1.033 -0.3113
1200	0.3331 -0.4739 0.1636 -1.102 0.4373 -0.1747 -0.718 0.3889 -0.006124 0.7583 -0.2187	0.8056 0.266 0.4645 -0.3691 -0.1757 -0.4425 -0.4068 -0.6801 -0.04806 -0.7019 -1.026	0.07456 0.6553 -0.6166 -0.7303 0.2349 0.3413 0.02376 0.2132 -0.3091 0.326 0.2142	0.4233 0.6005 0.5056 -0.3246 0.02972 -0.1248 0.2316 0.7242 -0.5105 0.3812 -0.08853	1.099 -0.39 -0.07252 -0.2223 -0.3524 -0.04508 0.2744 0.3307 -0.6712 0.4078 0.0148	0.318 0.09355 0.06612 0.6771 -0.7312 1.025 -0.3195 -0.2383 -1.013 -0.585 0.972	0.1094 -0.623 0.05729 0.231 -0.2528 0.3058 0.02112 1.261 0.2237 0.9769 -0.391	-0.6364 -0.4212 0.558 0.5674 -0.1765 -1.31 0.6142 -0.4406 0.02284 1.293 -0.8098	0.06492 -0.1029 0.08475 0.2798 -0.08994 0.5298 -0.1717 -0.04383 -0.6328 -0.7541 0.3589	-1.06 -0.1894 0.313 0.2132 -0.07081 -0.3333 0.0238 -0.2196 0.2201 -0.3912 -0.1985	0.167 0.6818 -0.1917 -0.2909 -0.9581 0.5641 0.06685 0.08517 -0.02996 -1.18 -0.3042
1300	0.1455 -0.3365 0.2428 -1.057 0.4575 -0.03391 -0.7686 0.3215 -0.1009 0.656 -0.009734	0.7831 0.2916 0.6634 -0.4468 -0.298 -0.6163 -0.3188 -0.7841 -0.1088 -0.6984 -0.8728	0.08271 0.7702 -0.4844 -0.5707 0.3408 0.3097 -0.1793 0.2566 -0.173 0.255 0.1099	0.388 0.7942 0.3939 -0.3657 0.1558 -0.06201 0.1813 0.8628 -0.3258 0.5156 -0.2087	1.176 -0.3161 -0.2485 -0.4255 -0.2928 -0.257 0.08958 0.361 -0.7595 0.2995 0.1946	0.4289 0.1076 -0.04719 0.5748 -0.7872 0.9802 -0.1559 -0.2358 -1.03 -0.5956 0.8806	0.07022 -0.5742 -0.04053 0.2477 -0.2786 0.3479 -0.004745 1.143 0.3696 0.8696 -0.6152	-0.5974 -0.4702 0.5867 0.5345 -0.389 -1.174 0.5973 -0.6941 0.06266 1.311 -1.008	0.03594 -0.08232 0.06133 0.3574 -0.2706 0.4372 -0.1154 0.158 -0.6124 -0.8728 0.2396	-1.067 -0.3228 0.02272 0.2045 -0.1512 -0.3765 -0.0255 -0.223 0.1549 -0.2611 -0.3195	0.05781 0.6547 -0.351 -0.4042 -0.9475 0.5907 0.2179 0.1338 -0.181 -1.278 -0.3204
1400	0.1277 -0.3575 0.2046 -1.165 0.411 0.01941 -0.4076 0.3359 -0.06408 0.4865 -0.1814	0.6652 0.2709 0.7434 -0.3377 -0.4132 -0.6756 -0.213 -0.8506 -0.09791 -0.653 -0.9119	0.1412 0.8767 -0.565 -0.5096 0.3728 0.3362 -0.2099 0.05631 -0.1539 0.32 0.1195	0.4766 0.7378 0.09199 -0.5545 0.01534 -0.03277 -0.09542 0.8991 -0.3234 0.5572 -0.2462	1.173 -0.2834 -0.1126 -0.6342 -0.4239 -0.263 0.191 0.3289 -0.6726 0.3576 0.1865	0.3851 -0.04608 -0.1233 0.6526 -0.7542 1.092 0.03238 -0.3581 -1 -0.5433 0.9626	0.1646 -0.5163 -0.1982 0.4302 -0.1672 0.2342 -0.189 1.407 0.3637 0.802 -0.8067	-0.7566 -0.4404 0.6 0.5598 -0.4104 -1.15 0.6613 -0.5942 -0.01428 1.222 -0.9951	-0.0525 -0.1057 0.07289 0.418 -0.2821 0.1249 -0.1509 0.4539 -0.619 -0.6813 0.1635	-0.8885 -0.5471 -0.01323 0.07985 -0.2582 -0.3125 0.1208 -0.1011 0.1871 -0.2921 -0.3774	0.09381 0.6837 -0.3605 -0.4039 -1.025 0.785 0.1159 0.2699 -0.1377 -1.232 -0.3562
1500	0.1242 -0.6664 0.3037 -1.084 0.6118 -0.0139 -0.3532 0.3847 0.0004658 0.4361 -0.04701	0.7388 0.3119 0.5112 -0.1339 -0.3781 -0.7641 -0.03559 -0.7423 -0.152 -0.703 -0.9174	0.2233 0.8233 -0.5765 -0.4765 0.2773 0.44 -0.1701 0.02742 -0.1891 0.345 0.02508	0.5407 0.7969 0.2159 -0.3683 0.06426 -0.1314 -0.04236 0.8879 -0.4653 0.5211 -0.4499	1.34 -0.1628 -0.1197 -0.6804 -0.2475 -0.08739 0.1616 0.4932 -0.9992 0.6026 0.1992	0.58 0.2711 -0.01583 0.8127 -0.8615 0.9665 0.005356 -0.2066 -1.22 -0.5861 1.258	0.01239 -0.3587 -0.5168 0.6142 -0.3465 -0.01188 -0.2409 1.531 0.2573 0.8898 -0.7165	-0.4752 -0.4402 0.5575 0.562 -0.2183 -1.103 0.768 -0.5402 -0.08398 1.051 -0.856	-0.03748 -0.05612 -0.06376 0.4451 -0.2662 0.1308 0.001183 0.5112 -0.6203 -0.6633 0.3573	-0.9732 -0.5689 -0.2467 -0.1996 -0.1885 -0.2999 -0.03407 0.03311 -0.1169 -0.2315 -0.4121	0.07727 0.865 -0.3183 -0.5522 -1.252 0.9593 -0.03516 0.2246 -0.1891 -1.193 -0.5111
1600	0.3132 -0.8152 0.2776 -1.163 0.7308 0.02191 -0.4498 0.4782 0.1808 0.453 -0.1412	0.7319 0.2234 0.6675 -0.07905 -0.4332 -0.8288 -0.1203 -0.7741 -0.08574 -0.553 -1.048	0.3295 0.9764 -0.5781 -0.2546 0.19 0.5978 0.0493 0.1006 -0.1239 0.3016 -0.06308	0.4932 0.6456 0.4013 -0.367 -0.09451 -0.07368 -0.07884 0.7967 -0.6556 0.554 -0.4169	1.364 -0.02949 -0.07335 -0.6849 -0.4501 0.05857 0.2555 0.6654 -1.051 0.5793 0.2725	0.7361 0.2895 -0.1103 0.6275 -1.014 0.8526 0.1523 -0.3148 -1.33 -0.5065 1.337	-0.05492 -0.1994 -0.5033 0.5681 -0.3496 -0.004746 -0.22 1.685 0.2883 0.9301 -0.5969	-0.712 -0.5832 0.5961 0.4466 -0.4517 -0.9514 0.7306 -0.663 -0.1344 1.192 -0.9691	0.1197 0.1408 -0.1022 0.4524 -0.2604 0.08086 -0.06393 0.4928 -0.6836 -0.8429 0.4756	-0.8498 -0.7112 -0.05549 -0.2928 -0.3315 -0.2733 -0.252 0.08017 -0.08726 -0.0147 -0.3379	-0.1456 0.8125 -0.2256 -0.5916 -0.9908 0.771 -0.157 0.2732 -0.2829 -1.154 -0.3953
1700	0.3725 -0.7364 0.2999 -1.019 0.7456 0.06408 -0.4885 0.56 0.1864 0.6267 -0.2415	0.7968 0.1313 0.6588 -0.3448 -0.449 -0.8457 -0.05298 -0.8076 0.03374 -0.3706 -0.9957	0.3066 1.006 -0.6229 -0.294 0.3181 0.2238 -0.01475 -0.05918 0.07036 0.2498 -0.2842	0.7418 0.5401 0.03867 -0.1633 -0.09765 -0.1902 -0.04373 0.8205 -0.6847 0.6314 -0.3613	1.52 -0.1683 -0.01762 -0.962 -0.5214 0.02299 0.08411 0.7796 -1.178 0.7096 0.4082	0.8047 0.3655 -0.171 0.7399 -1.088 0.7663 0.4171 -0.3789 -1.471 -0.7406 1.52	-0.2948 -0.3333 -0.5063 0.4992 -0.5123 -0.03356 0.01482 1.596 0.3737 0.6758 -0.6543	-0.7481 -0.6773 0.2925 0.4023 -0.105 -0.7218 0.8355 -0.5143 -0.1132 1.09 -1.098	0.2421 0.04428 -0.1671 0.3036 -0.312 0.06808 -0.1679 0.5308 -0.596 -0.7738 0.4705	-0.7909 -0.8699 -0.04385 -0.2997 -0.4146 -0.05593 -0.1428 0.2434 -0.2709 0.02135 -0.505	0.09206 0.8558 -0.00413 -0.5523 -1.309 0.6582 -0.3499 0.4577 -0.2963 -1.058 -0.318
1800	0.4894 -0.6265 0.3339 -1.061 0.7601 0.07045 -0.5713 0.5068 0.1229 0.5777 -0.4356	0.7934 0.1948 0.7723 -0.2346 -0.6668 -1.068 0.1291 -0.6664 0.1705 -0.2347 -1.104	0.2065 1.012 -0.7556 -0.1401 0.3517 0.2957 -0.09374 -0.1149 0.08324 0.1815 -0.4093	0.5445 0.5431 0.2716 -0.2325 -0.07302 -0.1175 0.0597 0.7881 -0.5578 0.7432 -0.5778	1.633 -0.05308 -0.08778 -0.8633 -0.4245 0.01807 0.2451 0.8016 -1.287 0.6604 0.2951	1.013 0.3215 -0.344 0.6864 -1.108 0.8471 0.3441 -0.3624 -1.61 -0.7292 1.692	-0.2468 -0.3772 -0.19 0.6314 -0.7198 -0.02009 0.08042 1.805 0.2972 1.026 -0.6183	-0.5557 -0.758 0.4396 0.3879 -0.2203 -0.4896 0.8405 -0.5065 -0.1599 1.217 -1.152	0.3791 0.1316 -0.1138 0.5043 -0.2151 -0.1174 -0.08697 0.6343 -0.5369 -0.8885 0.7627	-0.9522 -0.9211 0.09922 -0.3986 -0.4237 -0.2383 -0.2451 0.2225 -0.4847 -0.02076 -0.4958	0.2077 0.5685 -0.02889 -0.4966 -1.434 0.6234 -0.3858 0.4248 -0.4142 -1.136 -0.2953
1900	0.4025 -0.7607 0.2603 -0.9379 0.6835 0.2104 -0.5432 0.3754 -0.05601 0.6402 -0.4011	0.7655 0.3097 0.5955 -0.4281 -0.6425 -1.126 0.05138 -0.711 0.1165 -0.2967 -1.107	0.4046 1.135 -0.8294 -0.107 0.3297 0.1216 -0.2028 -0.01398 0.07954 0.2622 -0.2799	0.4037 0.6451 0.2437 -0.2994 -0.1233 -0.1409 0.1232 1.025 -0.5555 0.9339 -0.5738	1.696 0.077 -0.06805 -0.786 -0.3639 0.2148 0.2356 0.9389 -1.247 0.6021 0.4105	0.9116 0.1463 -0.208 0.6329 -1.172 0.8412 0.3718 -0.1782 -1.801 -0.6591 1.906	-0.2872 -0.3551 0.01054 0.6008 -0.8091 -0.06702 -0.01007 1.82 0.3822 1.046 -0.5596	-0.3851 -0.6178 0.6079 0.4411 -0.3815 -0.4731 0.7413 -0.5059 -0.09722 1.372 -1.273	0.5862 0.2661 -0.1975 0.3706 -0.3458 -0.1335 -0.1699 0.7628 -0.3707 -0.9379 0.773	-1.058 -0.8183 0.1117 -0.4701 -0.5545 -0.19 -0.3969 0.2887 -0.4774 -0.005976 -0.32	0.3794 0.5748 -0.1727 -0.6433 -1.56 0.7298 -0.624 0.41 -0.4131 -1.046 -0.4371
2000	0.3172 -0.7224 0.5479 -0.7142 0.5601 0.4051 -0.4872 0.4161 -0.1838 0.6154 -0.4783	0.7254 0.4321 0.565 -0.5039 -0.7326 -1.003 -0.01427 -0.5224 0.1608 -0.2895 -1.025	0.3871 1.216 -0.7576 0.07661 0.3032 0.2092 -0.2353 0.03671 0.2165 0.3256 -0.3039	0.4024 0.5916 0.1453 -0.2952 -0.3653 -0.1477 0.1898 0.9463 -0.543 0.8086 -0.3816	1.768 0.1531 -0.1725 -1.011 -0.4814 0.2112 0.3062 0.9883 -1.302 0.4718 0.4827	0.7636 0.172 -0.1785 0.7063 -1.22 0.9119 0.3684 0.0461 -1.648 -0.6878 1.826	-0.2262 -0.247 -0.06026 0.6574 -0.7031 0.0658 -0.1225 2.038 0.3659 1.011 -0.5885	-0.441 -0.5752 0.5102 0.4449 -0.4148 -0.4405 0.6882 -0.5334 -0.1377 1.114 -1.348	0.6174 0.3133 -0.2973 0.4116 -0.2961 0.03122 -0.3841 0.9519 -0.4433 -0.9907 0.6898	-1.036 -0.7967 0.02893 -0.5298 -0.3596 -0.4574 -0.5492 0.3509 -0.5732 -0.1123 -0.3904	0.4078 0.576 0.02678 -0.6114 -1.469 0.6061 -0.6431 0.574 -0.4792 -0.9536 -0.3494
